#        spin 1         spin 2         distance       C12 [rad/s]
    0    0    0   -5    9   25   2.7037011669E+001  -9.4439585096E-001
    0    0    0   -1    7    7   9.9498743711E+000  -5.8704952263E+000
    0    0    0   -1   17   25   3.0248966925E+001  -4.5210570386E-001
    0    0    0   -7   11   13   1.8411952640E+001  -9.4695976007E-001
    0    0    0   14   28   10   3.2863353450E+001   2.4269269386E-001
    0    0    0   -4   20   24   3.1496031496E+001  -2.8321752440E-001
    0    0    0    7    7    3   1.0344080433E+001   8.0566042504E+000
    0    0    0   -5   11   11   1.6340134638E+001  -9.8291184325E-001
    0    0    0   13   27   13   3.2664965942E+001   1.7959674728E-001
    0    0    0   23   19   15   3.3391615714E+001   1.2641161983E-001
    0    0    0    5   11   21   2.4228082879E+001  -1.0514873435E+000
    0    0    0  -12   16   16   2.5612496950E+001  -1.2119366318E-001
    0    0    0   -7   13   23   2.7331300737E+001  -6.5690001211E-001
    0    0    0   13   21   15   2.8896366554E+001   9.4716421669E-002
    0    0    0    1   17   11   2.0273134933E+001   1.6716993401E-001
    0    0    0  -13   25   17   3.2908965344E+001   6.6742750157E-002
    0    0    0  -10   14   32   3.6331804249E+001  -3.3008117923E-001
    0    0    0   11    7    7   1.4798648587E+001   1.2098839003E+000
    0    0    0  -11   35    1   3.6701498607E+001   2.4071423171E-001
    0    0    0    1   27    1   2.7037011669E+001   6.0097917788E-001
    0    0    0   24   12   16   3.1240998704E+001   8.3360493909E-002
    0    0    0   17    7   17   2.5039968051E+001  -2.9077956196E-001
    0    0    0   11   23    7   2.6438608133E+001   5.0964483442E-001
    0    0    0   -1   15    3   1.5329709717E+001   2.9303207988E+000
    0    0    0   -7    1   19   2.0273134933E+001  -2.3403790762E+000
    0    0    0  -17   11   27   3.3749074061E+001  -2.8547853592E-001
    0    0    0  -20    6   18   2.7568097504E+001  -1.5879008039E-001
    0    0    0   19   23   15   3.3391615714E+001   1.2641161983E-001
    0    0    0   -5   19    7   2.0856653615E+001   8.7034378759E-001
    0    0    0  -18    0   26   3.1622776602E+001  -3.8771678514E-001
    0    0    0    7   13   25   2.9034462282E+001  -5.9652994435E-001
    0    0    0   -7   13   19   2.4062418831E+001  -7.4517043458E-001
    0    0    0   15    7   11   1.9874606914E+001   1.2307751743E-001
    0    0    0  -13   23    3   2.6589471601E+001   6.1021357739E-001
    0    0    0  -12   32   12   3.6221540553E+001   1.6833311996E-001
    0    0    0   19    9   29   3.5818989377E+001  -2.5082829877E-001
    0    0    0    1    9   27   2.8478061732E+001  -8.7616880534E-001
    0    0    0    7   21   21   3.0512292605E+001  -1.7678009092E-001
    0    0    0    5   29   11   3.1416556145E+001   2.4317179263E-001
    0    0    0   -9   25    9   2.8053520278E+001   3.7340794754E-001
    0    0    0   13   17   11   2.4062418831E+001   3.1935875768E-001
    0    0    0   -3   29   11   3.1160872902E+001   2.4681809321E-001
    0    0    0   -5    1    9   1.0344080433E+001  -1.3696227226E+001
    0    0    0   24   16   16   3.2984845005E+001   9.7746052711E-002
    0    0    0  -12   14    6   1.9390719430E+001   1.1659681039E+000
    0    0    0   26    4    6   2.6981475126E+001   5.1711213517E-001
    0    0    0  -18   24    6   3.0594117082E+001   3.6843612270E-001
    0    0    0  -10   22   24   3.4058772732E+001  -1.4781715899E-001
    0    0    0   -5   17   21   2.7477263328E+001  -4.3251626601E-001
    0    0    0    9    1   31   3.2295510524E+001  -6.2463820019E-001
    0    0    0   16   16    8   2.4000000000E+001   5.7517036863E-001
    0    0    0   18    2    4   1.8547236991E+001   1.6084852880E+000
    0    0    0    4    2    6   7.4833147735E+000  -2.6427419857E+001
    0    0    0  -20   16    8   2.6832815730E+001   4.5271425510E-001
    0    0    0    4   12    8   1.4966629547E+001   5.0821961263E-001
    0    0    0   21   23    5   3.1543620591E+001   3.5135942995E-001
    0    0    0    6   10   28   3.0331501776E+001  -6.6526540197E-001
    0    0    0  -29   19   11   3.6373066959E+001   1.7984282293E-001
    0    0    0    6    8   26   2.7856776554E+001  -8.9016704892E-001
    0    0    0    7   27    7   2.8757607689E+001   4.1235059653E-001
    0    0    0  -14   22    8   2.7276363394E+001   4.3604190387E-001
    0    0    0  -20    8    8   2.2978250586E+001   6.2557006625E-001
    0    0    0   12   16   12   2.3323807579E+001   1.9352731078E-001
    0    0    0   -9   11   31   3.4102785810E+001  -4.4473432341E-001
    0    0    0  -24   18    2   3.0066592757E+001   4.3297743822E-001
    0    0    0   22   24    2   3.2619012861E+001   3.3976853551E-001
    0    0    0  -29   19    3   3.4799425283E+001   2.7670234064E-001
    0    0    0    7   17   21   2.7910571474E+001  -3.8306876705E-001
