    0    0    0
   -5   25   13
  -15   15   29
  -11    9   15
    3   17    5
   21    9    3
   24    2   14
    4   20   24
  -18    4    2
    8    6   18
   -1    1   25
    9   11   13
   11   21   13
   25    3   25
    5   17    7
  -17   23   11
    0   34   14
   13   29   15
    2   18   12
   27    1   17
    1   15   17
  -21   13   25
   -4   22   26
  -23    7    1
  -16   26    6
    1   29   15
   -3   11   25
   17    3   21
   24   10   26
   -6    0    6
   32   16    4
   -1    3   31
  -17   15    7
    4   14   10
    6   24   22
   -2    0   10
   -8    6   14
    5   31    9
   -7   21   11
  -20   24    4
  -15   13    7
   -7   15   17
    9   15    9
  -14   12    6
    5    7    9
    1   25   15
  -11   17    7
  -18   16   14
   -3   11   17
   14   24    2
   25   11   13
    8    4   24
   -2   32    6
   16   24    4
  -12   14   30
   -1   21   21
  -18   16   18
   23   21   17
  -19    9   15
   25   21    3
   12    8   28
   19    7   23
  -19    9    7
    6   30   12
   -4    6    2
   16   24   16
    4    6   30
   23    5   21
   12    2    6
  -10    4   10
  -26   12   14
   31    7    3
   13    7   17
   -1   17    9
  -21    1   25
   -9   21   13
    1    5   23
   21   17    3
  -12   14   18
  -30    4    2
  -13    1    5
   22    6   24
   -5    9   25
   -1    7    7
   -1   17   25
   -7   11   13
   14   28   10
   -4   20   24
    7    7    3
   -5   11   11
   13   27   13
   23   19   15
    5   11   21
  -12   16   16
   -7   13   23
   13   21   15
    1   17   11
  -13   25   17
  -10   14   32
   11    7    7
  -11   35    1
    1   27    1
   24   12   16
   17    7   17
   11   23    7
   -1   15    3
   -7    1   19
  -17   11   27
  -20    6   18
   19   23   15
   -5   19    7
  -18    0   26
    7   13   25
   -7   13   19
   15    7   11
  -13   23    3
  -12   32   12
   19    9   29
    1    9   27
    7   21   21
    5   29   11
   -9   25    9
   13   17   11
   -3   29   11
   -5    1    9
   24   16   16
  -12   14    6
   26    4    6
  -18   24    6
  -10   22   24
   -5   17   21
    9    1   31
   16   16    8
   18    2    4
    4    2    6
  -20   16    8
    4   12    8
   21   23    5
    6   10   28
  -29   19   11
    6    8   26
    7   27    7
  -14   22    8
  -20    8    8
   12   16   12
   -9   11   31
  -24   18    2
   22   24    2
  -29   19    3
    7   17   21
  -18   28    6
   22    2   12
   21   21   11
    0   18    6
    9   17   27
   16   10   18
   23    7   11
   24   24   12
    1    9   31
  -12    2   18
   -6   18   20
   -7    7   29
   -7   13   15
    4   22    2
   29    7   17
    9   23   25
   -4   16    4
  -27   15   13
   10   18    4
   -7    7   13
  -14   20   26
   -3   13   15
   30    2   12
  -19   11   29
   22   14   20
   32    2   18
   12   26    2
    1    5   35
    4    6   18
   11   29    9
    4   32   16
   -6   24   18
  -16   24   12
   14   28    6
   -4   12   28
   20   28   12
    4   14   26
   28   20    8
   15   11   15
    2    2   32
  -21   25   13
  -11    9    3
  -12    0   20
   -2   14    8
   -8   30   18
   26    6    4
   -7    9   27
   24    4   24
   29   13   11
    6   16    2
    7    9   21
    3   25    9
  -29   15    3
   -3   23    5
   27   13    9
  -29   15   11
   28   16    8
  -18   18    4
  -17   29   13
   20   24    8
  -28   20   12
  -11   13   19
   -7    9   19
    5    3   25
   -1   21    5
   12   10   18
   10   26    8
   16   14   22
  -28    4   16
    5   11   17
   24   16    8
   16   16   28
  -27   17   15
   12    4   24
   17    9   19
  -31    9   11
   -8   12    8
   25   19   13
   26   18   12
  -19    1   27
   33    3   13
   -4   12   16
   19   27   11
   -1   35    7
  -14    4   14
  -31    9   15
  -25   15   19
   20   20    8
   17   27    1
   -2   20   14
   -2   10   12
   27   19    3
  -33    3   15
  -19    3   17
   -3    9   19
   -9    3   11
  -28   14   18
   25    7   17
   24    8    8
  -25   19   11
   19   19   19
  -10   30    4
  -29    7    7
   25    9   19
  -14   14   20
   -4    2   34
  -10   16   14
  -22   28    6
  -17   19   19
   -5   29   13
  -10    2   28
   18   16   18
  -10   26   16
   22   16   14
   19    7   19
  -14   12    2
   16    8   24
   -7   25   19
   11    3   19
  -17   15   23
   -6    4    2
    8   14   30
   27    1    9
   12   30   14
   18   12    2
    2   30   20
   -4   12   24
    7   15   27
  -11   19   29
   -3    5    7
   26   16    2
  -19    1   19
  -13   25    9
   20    4   28
    1   19   21
  -10   12    6
   15   15    3
   11    1    1
  -35    5    3
  -20   18   10
   16    8   28
  -24   20   16
