#   spin 1          distance            J [rad/s]
    0    0    0   0.0000000000E+000   6.0415223015E+007
   -5   25   13   2.8618176043E+001   9.5514318333E+004
  -15   15   29   3.5930488446E+001   2.4885428795E+004
  -11    9   15   2.0663978320E+001   1.1123281321E+005
    3   17    5   1.7972200756E+001   9.1581759179E+003
   21    9    3   2.3043437244E+001   3.0810691173E+004
   24    2   14   2.7856776554E+001   2.3237131944E+002
    4   20   24   3.1496031496E+001   7.5781992856E+004
  -18    4    2   1.8547236991E+001   1.0005958468E+004
    8    6   18   2.0591260282E+001   1.6126862775E+004
   -1    1   25   2.5039968051E+001   2.9840177219E+004
    9   11   13   1.9261360284E+001   6.1637460716E+004
   11   21   13   2.7037011669E+001   1.0097018929E+005
   25    3   25   3.5482389998E+001   5.0705151401E+004
    5   17    7   1.9052558883E+001   6.3718058541E+004
  -17   23   11   3.0643106892E+001   3.3656065405E+004
    0   34   14   3.6769552622E+001   1.5071323914E+005
   13   29   15   3.5142566782E+001   1.3226465195E+004
    2   18   12   2.1725560982E+001   6.4211669950E+005
   27    1   17   3.1921779399E+001   5.1794041689E+003
    1   15   17   2.2693611436E+001   1.6945676051E+003
  -21   13   25   3.5142566782E+001   1.8910578241E+004
   -4   22   26   3.4292856399E+001   6.5110826640E+001
  -23    7    1   2.4062418831E+001   4.1016713876E+004
  -16   26    6   3.1112698372E+001   9.6066267307E+004
    1   29   15   3.2664965942E+001   3.3370535453E+004
   -3   11   25   2.7477263328E+001   2.2841100206E+005
   17    3   21   2.7184554438E+001   3.7694639274E+005
   24   10   26   3.6769552622E+001   1.6179216187E+004
   -6    0    6   8.4852813742E+000   1.2284341409E+006
   32   16    4   3.6000000000E+001   8.0026960816E+002
   -1    3   31   3.1160872902E+001   3.6737391207E+004
  -17   15    7   2.3727621035E+001   3.0546594175E+005
    4   14   10   1.7663521733E+001   1.6395061352E+006
    6   24   22   3.3105890714E+001   9.8007633693E+001
   -2    0   10   1.0198039027E+001   5.5313303972E+005
   -8    6   14   1.7204650534E+001   1.6330165235E+004
    5   31    9   3.2664965942E+001   1.7147844359E+005
   -7   21   11   2.4718414189E+001   6.7265734250E+005
  -20   24    4   3.1496031496E+001   7.5781992856E+004
  -15   13    7   2.1047565180E+001   1.4539325985E+005
   -7   15   17   2.3727621035E+001   3.0546594175E+005
    9   15    9   1.9672315573E+001   1.1403081892E+006
  -14   12    6   1.9390719430E+001   1.9006469741E+004
    5    7    9   1.2449899598E+001   4.8987101487E+005
    1   25   15   2.9171904292E+001   1.6714662576E+004
  -11   17    7   2.1424285286E+001   9.8960670375E+005
  -18   16   14   2.7856776554E+001   2.7235038302E+004
   -3   11   17   2.0469489490E+001   8.0870932799E+005
   14   24    2   2.7856776554E+001   2.3237131944E+002
   25   11   13   3.0248966925E+001   2.7201608295E+004
    8    4   24   2.5612496950E+001   6.9330048820E+004
   -2   32    6   3.2619012861E+001   8.0697600972E+004
   16   24    4   2.9120439557E+001   1.8947276457E+004
  -12   14   30   3.5213633723E+001   3.0017633478E+003
   -1   21   21   2.9715315916E+001   4.8697239900E+004
  -18   16   18   3.0066592757E+001   3.2553211351E-001
   23   21   17   3.5482389998E+001   2.1950687642E+004
  -19    9   15   2.5826343140E+001   4.0766142050E+005
   25   21    3   3.2787192622E+001   1.2698158598E+005
   12    8   28   3.1496031496E+001   5.2314777553E+004
   19    7   23   3.0643106892E+001   1.3600542840E+003
  -19    9    7   2.2158519806E+001   1.8230754102E+004
    6   30   12   3.2863353450E+001   9.0969707316E+004
   -4    6    2   7.4833147735E+000   5.3332542750E+005
   16   24   16   3.2984845005E+001   4.0600346794E+004
    4    6   30   3.0854497241E+001   7.2896188216E+003
   23    5   21   3.1543620591E+001   5.4505616631E+004
   12    2    6   1.3564659966E+001   2.6639665811E+006
  -10    4   10   1.4696938457E+001   2.1617579913E+006
  -26   12   14   3.1874754901E+001   1.2359445612E+004
   31    7    3   3.1921779399E+001   2.8470084264E+005
   13    7   17   2.2516660498E+001   4.7518966326E+005
   -1   17    9   1.9261360284E+001   1.5124426821E+005
  -21    1   25   3.2664965942E+001   1.0635244612E+004
   -9   21   13   2.6286878856E+001   2.5902213562E+004
    1    5   23   2.3558437979E+001   5.2410058024E+005
   21   17    3   2.7184554438E+001   3.7694639274E+005
  -12   14   18   2.5768197453E+001   6.8039942274E+003
  -30    4    2   3.0331501776E+001   2.6989261708E+004
  -13    1    5   1.3964240044E+001   1.2613243752E+006
   22    6   24   3.3105890714E+001   9.8007633693E+001
   -5    9   25   2.7037011669E+001   3.8665850984E+005
   -1    7    7   9.9498743711E+000   2.9316644159E+006
   -1   17   25   3.0248966925E+001   1.2753935110E+004
   -7   11   13   1.8411952640E+001   7.6553021859E+005
   14   28   10   3.2863353450E+001   1.9804049488E+005
   -4   20   24   3.1496031496E+001   7.5781992856E+004
    7    7    3   1.0344080433E+001   7.7419153310E+006
   -5   11   11   1.6340134638E+001   1.7013616932E+004
   13   27   13   3.2664965942E+001   6.8959370089E+002
   23   19   15   3.3391615714E+001   9.1169916849E+004
    5   11   21   2.4228082879E+001   2.7763251447E+003
  -12   16   16   2.5612496950E+001   5.5374055208E+005
   -7   13   23   2.7331300737E+001   5.4834994529E+004
   13   21   15   2.8896366554E+001   2.1847919264E+003
    1   17   11   2.0273134933E+001   1.0896153501E+005
  -13   25   17   3.2908965344E+001   2.3227914488E+004
  -10   14   32   3.6331804249E+001   9.8797197862E+004
   11    7    7   1.4798648587E+001   3.5942634898E+006
  -11   35    1   3.6701498607E+001   6.6079388239E+003
    1   27    1   2.7037011669E+001   3.6175904915E+004
   24   12   16   3.1240998704E+001   8.6017507782E+004
   17    7   17   2.5039968051E+001   6.6584165329E+005
   11   23    7   2.6438608133E+001   2.0100329264E+005
   -1   15    3   1.5329709717E+001   3.7540057780E+004
   -7    1   19   2.0273134933E+001   2.3127608677E+004
  -17   11   27   3.3749074061E+001   5.9550331819E+004
  -20    6   18   2.7568097504E+001   1.3406237163E+003
   19   23   15   3.3391615714E+001   9.1169916849E+004
   -5   19    7   2.0856653615E+001   6.5801502588E+004
  -18    0   26   3.1622776602E+001   8.5910547113E+004
    7   13   25   2.9034462282E+001   1.2958881662E+005
   -7   13   19   2.4062418831E+001   4.1038313330E+004
   15    7   11   1.9874606914E+001   4.8434944824E+005
  -13   23    3   2.6589471601E+001   1.8898731940E+004
  -12   32   12   3.6221540553E+001   1.0574669509E+005
   19    9   29   3.5818989377E+001   1.1373148302E+005
    1    9   27   2.8478061732E+001   1.2801199378E+005
    7   21   21   3.0512292605E+001   3.5629800652E+005
    5   29   11   3.1416556145E+001   3.6843829612E+004
   -9   25    9   2.8053520278E+001   2.6774499163E+005
   13   17   11   2.4062418831E+001   1.4124725257E+005
   -3   29   11   3.1160872902E+001   8.7742609879E+004
   -5    1    9   1.0344080433E+001   4.3104031473E+006
   24   16   16   3.2984845005E+001   4.0600346794E+004
  -12   14    6   1.9390719430E+001   1.9006469741E+004
   26    4    6   2.6981475126E+001   3.5828361261E+003
