#   spin 1          distance            C12 nuclear [rad/s]
    0    0    0   0.0000000000E+000                 NaN
   -5   25   13   2.8618176043E+001   6.4109799222E+002
  -15   15   29   3.5930488446E+001  -8.1147413066E+002
  -11    9   15   2.0663978320E+001  -2.5963400368E+003
    3   17    5   1.7972200756E+001   5.2170494372E+003
   21    9    3   2.3043437244E+001   3.0596645232E+003
   24    2   14   2.7856776554E+001   4.4206193797E+002
    4   20   24   3.1496031496E+001  -9.3665188421E+002
  -18    4    2   1.8547236991E+001   5.9665262331E+003
    8    6   18   2.0591260282E+001  -5.8390943685E+003
   -1    1   25   2.5039968051E+001  -5.0006367754E+003
    9   11   13   1.9261360284E+001  -2.0234091589E+003
   11   21   13   2.7037011669E+001   6.1155307341E+002
   25    3   25   3.5482389998E+001  -4.3201215286E+002
    5   17    7   1.9052558883E+001   3.3936477797E+003
  -17   23   11   3.0643106892E+001   8.4088785487E+002
    0   34   14   3.6769552622E+001   4.4836448701E+002
   13   29   15   3.5142566782E+001   4.1209771853E+002
    2   18   12   2.1725560982E+001   3.2597520859E+002
   27    1   17   3.1921779399E+001   1.8087881540E+002
    1   15   17   2.2693611436E+001  -2.3067693272E+003
  -21   13   25   3.5142566782E+001  -4.7096882117E+002
   -4   22   26   3.4292856399E+001  -7.0859954245E+002
  -23    7    1   2.4062418831E+001   2.8164733827E+003
  -16   26    6   3.1112698372E+001   1.1635622831E+003
    1   29   15   3.2664965942E+001   4.1577138444E+002
   -3   11   25   2.7477263328E+001  -2.8205267357E+003
   17    3   21   2.7184554438E+001  -1.5516055639E+003
   24   10   26   3.6769552622E+001  -3.9672040997E+002
   -6    0    6   8.4852813742E+000  -3.2281286693E+004
   32   16    4   3.6000000000E+001   8.1410731807E+002
   -1    3   31   3.1160872902E+001  -2.5669617085E+003
  -17   15    7   2.3727621035E+001   2.1817346076E+003
    4   14   10   1.7663521733E+001   2.7527979624E+002
    6   24   22   3.3105890714E+001  -3.5310444915E+002
   -2    0   10   1.0198039027E+001  -7.0089393228E+004
   -8    6   14   1.7204650534E+001  -7.6407000497E+003
    5   31    9   3.2664965942E+001   8.7396842036E+002
   -7   21   11   2.4718414189E+001   1.0600545937E+003
  -20   24    4   3.1496031496E+001   1.2013578515E+003
  -15   13    7   2.1047565180E+001   2.8265844970E+003
   -7   15   17   2.3727621035E+001  -1.5943445209E+003
    9   15    9   1.9672315573E+001   1.9278118998E+003
  -14   12    6   1.9390719430E+001   3.8560686657E+003
    5    7    9   1.2449899598E+001  -1.1604675581E+004
    1   25   15   2.9171904292E+001   3.2860059445E+002
  -11   17    7   2.1424285286E+001   2.7264808855E+003
  -18   16   14   2.7856776554E+001   4.4206193797E+002
   -3   11   17   2.0469489490E+001  -4.9172527710E+003
   14   24    2   2.7856776554E+001   1.7964644713E+003
   25   11   13   3.0248966925E+001   6.3545822464E+002
    8    4   24   2.5612496950E+001  -3.8363194535E+003
   -2   32    6   3.2619012861E+001   1.0211355582E+003
   16   24    4   2.9120439557E+001   1.5068843883E+003
  -12   14   30   3.5213633723E+001  -1.0635997340E+003
   -1   21   21   2.9715315916E+001  -7.4908395482E+002
  -18   16   18   3.0066592757E+001  -1.0916097692E+002
   23   21   17   3.5482389998E+001   2.7491682455E+002
  -19    9   15   2.5826343140E+001  -2.7463442810E+001
   25   21    3   3.2787192622E+001   1.0909873103E+003
   12    8   28   3.1496031496E+001  -1.7307697860E+003
   19    7   23   3.0643106892E+001  -9.4599883672E+002
  -19    9    7   2.2158519806E+001   2.5400033500E+003
    6   30   12   3.2863353450E+001   6.6679939069E+002
   -4    6    2   7.4833147735E+000   7.3954088068E+004
   16   24   16   3.2984845005E+001   3.2326398107E+002
    4    6   30   3.0854497241E+001  -2.4656341382E+003
   23    5   21   3.1543620591E+001  -4.1428167072E+002
   12    2    6   1.3564659966E+001   6.5275260234E+003
  -10    4   10   1.4696938457E+001  -4.8319728494E+003
  -26   12   14   3.1874754901E+001   5.1308471412E+002
   31    7    3   3.1921779399E+001   1.1804722689E+003
   13    7   17   2.2516660498E+001  -2.4533650808E+003
   -1   17    9   1.9261360284E+001   1.9043850907E+003
  -21    1   25   3.2664965942E+001  -8.5699815977E+002
   -9   21   13   2.6286878856E+001   5.7823221222E+002
    1    5   23   2.3558437979E+001  -5.6095344129E+003
   21   17    3   2.7184554438E+001   1.8916834958E+003
  -12   14   18   2.5768197453E+001  -1.0693259229E+003
  -30    4    2   3.0331501776E+001   1.3950695429E+003
  -13    1    5   1.3964240044E+001   8.9140341755E+003
   22    6   24   3.3105890714E+001  -6.2685958389E+002
   -5    9   25   2.7037011669E+001  -3.1232889106E+003
   -1    7    7   9.9498743711E+000  -1.9414795842E+004
   -1   17   25   3.0248966925E+001  -1.4951958227E+003
   -7   11   13   1.8411952640E+001  -3.1317682245E+003
   14   28   10   3.2863353450E+001   8.0262889620E+002
   -4   20   24   3.1496031496E+001  -9.3665188421E+002
    7    7    3   1.0344080433E+001   2.6644656144E+004
   -5   11   11   1.6340134638E+001  -3.2506683051E+003
   13   27   13   3.2664965942E+001   5.9395912064E+002
   23   19   15   3.3391615714E+001   4.1806622719E+002
    5   11   21   2.4228082879E+001  -3.4774599617E+003
  -12   16   16   2.5612496950E+001  -4.0080949515E+002
   -7   13   23   2.7331300737E+001  -2.1724878621E+003
   13   21   15   2.8896366554E+001   3.1324443998E+002
    1   17   11   2.0273134933E+001   5.5286138812E+002
  -13   25   17   3.2908965344E+001   2.2073041852E+002
  -10   14   32   3.6331804249E+001  -1.0916385175E+003
