  -36    2    2
  -34    0    2
  -33    3    3
  -33    1    1
  -35    3    1
  -35    1    3
  -36    0    4
  -36    2    6
  -34    0    6
  -34    2    4
  -33    3    7
  -33    1    5
  -35    3    5
  -35    1    7
  -34    0   10
  -34    2    8
  -33    3   11
  -33    1    9
  -35    3    9
  -35    1   11
  -34    0   14
  -34    2   12
  -33    3   15
  -33    1   13
  -36    6    2
  -34    4    2
  -33    7    3
  -33    5    1
  -35    7    1
  -35    5    3
  -36    4    4
  -34    4    6
  -34    6    4
  -33    7    7
  -33    5    5
  -35    7    5
  -35    5    7
  -34    4   10
  -34    6    8
  -33    7   11
  -33    5    9
  -35    7    9
  -34    6   12
  -33    5   13
  -34    8    2
  -33   11    3
  -33    9    1
  -35   11    1
  -35    9    3
  -34    8    6
  -34   10    4
  -33   11    7
  -33    9    5
  -35    9    7
  -34    8   10
  -34   10    8
  -33   11   11
  -33    9    9
  -33    9   13
  -34   12    2
  -33   15    3
  -33   13    1
  -34   12    6
  -33   13    5
  -33   13    9
  -32    2    2
  -30    0    2
  -29    3    3
  -29    1    1
  -31    3    1
  -31    1    3
  -32    0    4
  -32    2    6
  -30    0    6
  -30    2    4
  -29    3    7
  -29    1    5
  -31    3    5
  -31    1    7
  -32    0    8
  -32    2   10
  -30    0   10
  -30    2    8
  -29    3   11
  -29    1    9
  -31    3    9
  -31    1   11
  -32    0   12
  -32    2   14
  -30    0   14
  -30    2   12
  -29    3   15
  -29    1   13
  -31    3   13
  -31    1   15
  -32    0   16
  -32    2   18
  -30    0   18
  -30    2   16
  -29    3   19
  -29    1   17
  -31    3   17
  -31    1   19
  -30    2   20
  -29    1   21
  -32    6    2
  -30    4    2
  -29    7    3
  -29    5    1
  -31    7    1
  -31    5    3
  -32    4    4
  -32    6    6
  -30    4    6
  -30    6    4
  -29    7    7
  -29    5    5
  -31    7    5
  -31    5    7
  -32    4    8
  -32    6   10
  -30    4   10
  -30    6    8
  -29    7   11
  -29    5    9
  -31    7    9
  -31    5   11
  -32    4   12
  -32    6   14
  -30    4   14
  -30    6   12
  -29    7   15
  -29    5   13
  -31    7   13
  -31    5   15
  -32    4   16
  -30    4   18
  -30    6   16
  -29    7   19
  -29    5   17
  -31    7   17
  -31    5   19
  -30    6   20
  -29    5   21
  -32   10    2
  -30    8    2
  -29   11    3
  -29    9    1
  -31   11    1
  -31    9    3
  -32    8    4
  -32   10    6
  -30    8    6
  -30   10    4
  -29   11    7
  -29    9    5
  -31   11    5
  -31    9    7
  -32    8    8
  -32   10   10
  -30    8   10
  -30   10    8
  -29   11   11
  -29    9    9
  -31   11    9
